variable	NSGAII(0)	NSGAII(1)	NSGAII(2)	NSGAII(3)	NSGAII(4)
BAYES_00	-4.166272786527818	-4.5261977210127835	-4.437959546294073	-4.421995776632209	-4.464745064325098
FREEMAIL_FROM	0.10880146964294098	1.5766065248369914	1.2638581905765722	1.3126098401370676	1.245454884831302
RDNS_NONE	3.5500830667671734	2.6008729563048747	4.100330415859997	3.941871004718302	4.100886101633787
FREEMAIL_REPLYTO_END_DIGIT	4.0306175559855975	-1.091539237649602	-1.3430226601167394	-1.6508391495198147	-1.5751985936664588
MSOE_MID_WRONG_CASE	-0.00555061878578017	2.2163081935447178	2.5287427308366186	2.5243566655788072	2.889039117744407
DATE_IN_PAST_24_48	2.20370928716383	3.278012018059341	3.5020582254109387	3.0800273368681093	3.3738751968961935
T_LOTS_OF_MONEY	3.310033803991559	0.6610076097721959	2.3480696503353555	2.2386294504757127	2.5574653652132153
SPF_HELO_FAIL	2.691548843721474	3.302952759540404	4.465138808132573	3.333481314966132	1.7243309694253977
ALL_TRUSTED	-2.7745066607103794	-3.261253224528633	-3.4341593046066574	-3.4341593046066574	-2.8663364595596765
DNS_FROM_RFC_DSN	-2.9020663975012697	2.489782422574156	-4.107668114950899	2.8970988905971544	2.4450418301934143
DATE_IN_PAST_06_12	2.8077947317117493	0.9925142925527984	1.013726567614766	0.9844409097416804	1.0457446262927055
HTML_IMAGE_RATIO_04	-2.0224005516148322	-0.006848318729432479	2.1368421815207013	0.6767930061442301	3.415547173409176
HTML_MESSAGE	1.6797449448541357	0.9066328885675143	1.1318549011006038	1.1168054870473247	1.0087172045482966
NO_DNS_FOR_FROM	3.6313192064702746	2.23228966413593	2.6330454789036013	2.6330454789036013	2.786316848015586
URIBL_GREY	-2.7071270581657996	0.13367403047994264	1.2832994284514356	-1.81070243017055	0.9127610037699017
PLING_QUERY	1.3430667645533447	2.8060226723395587	2.806738927892922	2.845065859925537	2.7845130313915627
HTTP_ESCAPED_HOST	-2.447063083094201	0.33840210390067677	0.03253472162336962	0.03253472162336962	0.82273284646319
MIME_HEADER_CTYPE_ONLY	2.845009331942722	-4.259853790408275	-0.24389545628036352	-0.0668203826420859	-0.5566930361803115
MIME_HTML_ONLY	1.898714339609065	4.747846259545679	4.647016244760858	4.682950093595304	4.247206702340392
NORMAL_HTTP_TO_IP	4.569777070638829	4.277758144378737	4.5388359429659655	4.254488108970878	4.280055832470869
DATE_IN_PAST_03_06	4.379768921633668	-2.492691553147826	-2.47741193730806	-2.47741193730806	-2.347048527427965
HK_NAME_DRUGS	-3.0421292558350532	-0.594038104352306	-1.1299813640551963	-0.5023175157929892	-0.8226978675506501
HS_INDEX_PARAM	-1.7865309745426647	-0.7255074118764795	-1.3061448917003116	-1.3061448917003116	-0.7188301213828057
LOW_PRICE	0.19996333756997367	1.0231215303981638	-1.274972602990889	1.0034021401957203	-0.022627178237342727
SPF_SOFTFAIL	2.329792299946201	4.3659052820116555	3.6878002668116516	3.712003607806697	3.71684281310119
MSGID_FROM_MTA_HEADER	2.6806086067205346	3.5629093410655486	3.428671854047789	3.727495993778443	3.458826419395174
RCVD_IN_DNSWL_LOW	1.840552846583815	-1.4347443507378466	-1.631662571960032	-1.4439466980658273	-1.430390232768454
MISSING_HEADERS	4.055902554452865	0.6613963091214671	0.6401364575575306	0.6394601065174226	1.1279410425713439
NO_RECEIVED	-3.5005833099605677	2.7958005255899323	3.2717530677658804	2.737118508801663	3.2456161794454874
NO_RELAYS	2.3654384982371988	2.7650852808119666	-2.5974925811889995	-1.6261824968821148	-1.8688857534276906
RCVD_IN_NJABL_PROXY	2.2312905418834483	2.85880606280059	3.172136271088641	2.8579246076418943	3.1705849444127963
BAYES_05	-1.9570049236943876	-0.3743836139754865	2.9914132019537396	2.9914132019537396	-0.7292896348629854
SPF_FAIL	-1.5615169889884324	0.84305312706049	0.9516057216228336	0.9516057216228336	0.570175915227168
SUBJECT_NEEDS_ENCODING	-2.9786139738369815	-0.5222645560548504	-2.784046264461324	-2.8072120482551632	-2.7984679901600105
HTML_FONT_FACE_BAD	-2.8534298337202695	-1.8567718800662272	-1.4990886559619168	-1.499132990613357	-1.6788751863296951
RCVD_IN_DNSWL_MED	4.872428365354372	-3.679114093056908	-3.654962557316612	-3.6551343182771667	3.0021403226460333
TVD_SPACE_RATIO	2.4773519415036835	-0.7164528471937858	-0.7267996822131473	-0.7272373033727279	-0.7014514648257166
SUBJ_DOLLARS	0.17435474117391325	4.431870005833535	4.408490692342978	4.408490692342978	4.41139337244855
FROM_LOCAL_NOVOWEL	-1.358752253296837	-1.6390204466008744	-1.9389929649708189	-1.5669845925153882	-2.1411037363328496
MIME_QP_LONG_LINE	3.2526817010519564	4.7510460860081745	4.22450207275152	4.719799059815298	4.876037276561751
APOSTROPHE_FROM	-3.1020286855372396	1.7194551376865652	1.3080617166544295	1.3124144805919136	-3.202153262530774
RCVD_IN_DNSWL_HI	-2.742205886929933	-4.621925046312375	0.19936035532195756	-4.195864837812744	0.97616378184637
RCVD_NUMERIC_HELO	-1.1110638356697007	2.28397033865507	2.270360927927916	2.0060339612610703	2.393498160434552
HTML_TAG_BALANCE_BODY	-3.6643079513368897	-4.60982675948567	-2.2612987645742546	-2.0293618926780637	-2.6904788711367233
RDNS_DYNAMIC	4.648480103148588	1.2661426645464298	3.4962072288746744	3.4962072288746744	1.9029634999197147
URIBL_SBL	-1.0688475332805596	0.03759584414861808	0.48704171669568175	-0.044904856713829544	0.3652454003791161
ACT_NOW_CAPS	-1.1683547633047024	0.6447849288126172	-1.743344138233832	-2.2491608574935533	-1.9810673160928174
BAYES_50	3.6253588096193075	1.1607297800231295	2.3661189876972015	2.36760145163158	1.191583163063926
DEAR_EMAIL	0.8530163808483646	-4.594377419478999	-4.268574394581984	-4.267929035047822	-4.527635869505501
DRUGS_ANXIETY	-3.850055810900784	3.599668658400992	3.882675303687093	3.882675303687093	4.867982486330468
ENV_AND_HDR_SPF_MATCH	2.909194735004685	4.117133549322685	4.038837634198047	4.593515948710591	-2.4923849998025487
SPF_PASS	-2.0194502679157296	1.34055885365436	1.4950314868865906	1.4516855851204389	1.4588645823617714
URI_HEX	-2.115118302764913	-0.5369221718895604	-0.5220665830857529	-0.5221237041252531	-0.5600333071307262
USER_IN_DEF_SPF_WL	1.1411069092345174	-0.3875522820858177	-0.7523854169948349	-0.7523854169948349	-0.5951512838144076
SPF_HELO_SOFTFAIL	-3.44261747474123	4.423956139765959	3.441148250726165	3.5203019420943495	3.683154416455479
DATE_IN_PAST_12_24	0.4967592385157438	1.1220077585611283	4.479541046774762	4.342657561742136	0.9779866152153469
RCVD_IN_DNSWL_NONE	-1.2806388810374605	2.590703548737639	3.0954147259632463	2.4776894731778314	2.7723350416481147
FH_HOST_EQ_PACBELL_D	-1.3703342023885834	-2.921188288985427	3.5936168234532424	-2.8769801641207025	4.959993539037282
MSGID_SPAM_CAPS	-3.54239913521456	0.9428262465464834	4.530112106761907	4.530112106761907	-3.2514874960976683
SUBJECT_DRUG_GAP_C	-0.3139165533189985	-2.2091921232740903	-2.7620490883655044	-2.2454484608016476	-2.3409846223968502
HTML_IMAGE_RATIO_02	1.8988441314785487	1.3847189798055055	1.3847189798055055	1.0253981177133835	1.3847189798055055
URG_BIZ	3.880047274160874	-0.5064626848756183	-0.8808102654437219	1.5653802675059645	-0.6821610075879351
FS_START_DOYOU2	-2.658541651522432	3.534567516107967	-2.8762719177160956	3.383284613826413	-3.0844226072843863
XMAILER_MIMEOLE_OL_3AC1D	-4.1496773646192935	-3.098408964432633	-2.1003713124626917	-2.1003713124626917	-1.7610222629054437
DATE_IN_FUTURE_12_24	-3.2090910108211608	-1.8504917403871202	-1.1370253881360703	1.8298328891077378	2.18394408307253
MSGID_RANDY	-0.4514104796931091	-0.3928526169002317	-1.2863781833319128	-0.3120358832581629	-0.06942331572434157
FREEMAIL_REPLY	-1.220553060173762	-0.350830645137881	0.23476658852517818	-0.4101525010752172	4.033616268833062
FROM_LOCAL_DIGITS	-3.6915024055521632	0.4142982732596236	0.173719057165002	0.41236819742830705	-0.13727143814299514
FROM_LOCAL_HEX	3.608332934802131	-2.124544407107761	-3.4559068268358124	-3.4582481852007065	-3.3549896678134905
HTTP_EXCESSIVE_ESCAPES	2.9354929890122277	-2.9655613648439276	-3.16837992809157	-2.9670135193934803	-3.0391726440334925
FAKE_REPLY_C	1.1788041710438186	3.2266330108448504	1.8388292526630077	1.4437311780325868	2.1206256184790035
SPF_NEUTRAL	0.959619622432424	-1.4115438074609983	-1.4332535869164493	-1.3575509606947773	-1.4105700759915154
T_FILL_THIS_FORM_SHORT	2.492864233246234	2.4162975581338992	2.9853027806403687	2.0331501659097246	2.4791782020690003
BODY_ENHANCEMENT	3.0133723215832466	3.9413691929788293	4.828226782212243	3.8112997709798075	-0.7413518933499479
HK_RANDOM_ENVFROM	-4.084735844039254	-0.2667809151696072	-0.3058904303609071	-0.31064034171872673	0.20346810640302054
MISSING_SUBJECT	-3.0485656999419364	2.4648084737390423	-1.000313868464461	-1.000313868464461	2.661313691358269
SUBJ_BUY	1.8326730717850757	3.980319869071448	-1.8980014065177477	-1.8699277068203661	-1.3943999056426186
HTML_TAG_BALANCE_HEAD	-2.500196299376697	-2.732218308379667	-2.0820370075745087	-2.0709272938799033	-1.852993021001707
MISSING_MIMEOLE	4.936129813973829	-0.01900429641580481	1.0549358936762123	-0.30556243441008446	4.330082322878693
MPART_ALT_DIFF	1.6135700987616994	2.199823768636576	2.297745314083255	2.3102234232710193	1.7063988254307876
BASE64_LENGTH_78_79	2.6186974463242167	-0.9296910216299149	0.6689595555294265	-0.8035319373807241	-0.24013955870829073
DIET_1	4.549060219330308	3.994826444104702	4.342973280316048	4.311850757138959	3.952935999827708
SUBJ_ALL_CAPS	0.9686969820374921	1.5033257791227288	1.50270032999902	1.4886861825882896	1.661381771961785
TO_NO_BRKTS_DYNIP	-0.36616105171854335	0.505976180100167	3.043448229748032	0.6637461526120709	2.656143061903905
BAYES_20	-1.2537292165633942	1.2416468120159538	0.5844466453903382	1.2762324865132526	1.1231556867531975
HTML_IMAGE_RATIO_08	0.4735661062047123	1.7231482207610496	1.6736816380568673	1.6723182429780725	1.6901553832168472
HTML_COMMENT_SAVED_URL	-1.1768130308620308	-1.4335809848153116	-2.9121105582917366	-3.4083925600123557	2.5315428574141903
WEIRD_PORT	2.962224221859969	2.4483485835401395	2.4638405484433683	2.4487414026053407	2.441744890859996
BAYES_40	3.054783240083547	-2.7970329500835396	-3.7069665254099284	-3.7069665254099284	3.039009620613549
MARKETING_PARTNERS	2.148262502768503	1.1777537231205786	4.802481918853085	4.818557681582597	4.899495579246025
HTML_EMBEDS	-4.295258756021522	-2.0176715993824503	2.052437706616988	-2.0315776955165146	-1.7309861566469655
HTML_IMAGE_ONLY_28	0.5015480888391257	3.1407040371337422	-1.5174191182989345	4.27530353888256	-2.4801200862393666
FRT_ADOBE2	0.2653500070315129	2.7109852257593783	-4.730261364143111	-4.648750511665855	-3.97694558015993
RCVD_IN_NJABL_SPAM	4.669943692464914	2.8984107730552915	2.9690679751182514	2.9438280159497605	2.7573315500718114
ANY_BOUNCE_MESSAGE	-0.9530642057644365	2.2159150097259173	1.858154331354213	1.853704809182233	2.205469420033704
VBOUNCE_MESSAGE	-0.4872411466168078	0.6216504812551186	2.0350354434632845	2.0350354434632845	1.922401318969301
RCVD_IN_RP_RNBL	-2.798430088669914	-1.8511757811364618	-1.8458610096088677	-1.755629657987857	-1.0743312096205788
DRUGS_ERECTILE	0.7923524325513364	-3.8223649822797143	-3.841711474154087	-3.6766559936520666	-3.8209361119112972
UNPARSEABLE_RELAY	1.008663159077786	-3.9338310123503444	-3.9203048236499085	-3.9203048236499085	-3.9236726158804895
RCVD_IN_SORBS_DUL	2.9439306721986607	1.3363567590010375	2.9590072412424604	2.9590072412424604	2.545610785717255
FSL_HELO_NON_FQDN_1	-0.9366319362247127	0.964553243954785	-0.11293289373068549	-0.14226049941667135	1.0412271100228487
HELO_NO_DOMAIN	1.0704399097971196	-3.5056435156636616	2.292318596435441	1.690972819866379	2.50466036521218
INVALID_MSGID	3.208347118390279	-1.5890784922472432	-0.8884738751161746	0.6800964266132415	-4.720578004442757
HTML_IMAGE_RATIO_06	2.2418536806871066	3.416904416325445	-2.0308414001866324	-1.99715149460484	4.1154504541862025
DATE_IN_FUTURE_03_06	-1.0900140201240422	-4.360923059244081	-4.647822605689817	-4.663474695089114	-1.9416424444938487
FU_COMMON_SUBS2	2.070156181221969	-3.8386097509661457	-3.7168385228379996	-3.80973901310443	-3.5885866067558725
SPOOF_COM2COM	-1.3551931155164554	0.5260311519307472	-3.9086665675934165	-1.970306747677947	-1.829612856816425
MIME_HTML_MOSTLY	0.4375626624434883	3.353332510230446	4.180087122339624	3.2939593126278877	4.038595944485168
SPF_HELO_PASS	-3.8954598339312896	-2.27095744555422	-2.8464696570508403	-2.8969274317847007	-0.662415995483961
DATE_IN_FUTURE_06_12	-3.2285415304164333	1.6069256131685443	1.4375781730502721	1.5871730587177906	1.4641972167225186
TVD_APPROVED	4.56251051623245	2.812126318544831	2.6400480133208113	2.6449895385586295	2.8939323413244034
DEAR_SOMETHING	4.80332604184477	4.434984736415323	4.416635316824331	4.410638143019347	4.394580800781092
T_FROM_MISSPACED	1.458472420159557	3.741166836778694	4.32699407570389	0.18390162832476342	3.6545654739626903
EXTRA_MPART_TYPE	-2.25660039717651	-1.712123971323947	1.3285480939014067	-2.1303353473296007	1.2232920890619108
TVD_FW_GRAPHIC_NAME_LONG	4.483784846014396	3.0007388494950153	2.1240389198335263	3.0227000304177745	2.7422170934270294
TVD_FW_GRAPHIC_NAME_MID	2.1716895981403574	-0.15200794321252328	0.34785763445156714	0.27743849992894815	-0.04499208854665153
MONEY_FROM_MISSP	-1.9651427558939192	-3.375974273844019	-3.8055861385220546	-2.7335138987936185	-3.3605015516359695
FRT_SOMA2	3.0917229023830117	0.8847183350191228	-4.410779907946227	-3.74753418287608	-3.3075434569699373
TVD_SUBJ_ACC_NUM	1.2549397736277417	1.3732147616091148	1.4494945750862558	1.4418442885771552	1.39626694282274
RCVD_IN_PBL	-2.4221861513887553	4.285645134825389	-2.8654214571579955	-2.8654214571579955	4.65415581843383
BODY_ENHANCEMENT2	-3.0895593443205707	1.2847862289935674	1.545988239227905	1.191459925167957	2.3689474962720545
FRT_SOMA	-4.215517314328734	-1.4951405790126686	-4.8321632739201625	-1.1711846232328134	-2.5235198425687697
MONEY_BACK	-0.12787279544949934	-2.355864891537097	-2.904290850209628	-2.5804636572242314	-2.5877886262466707
FRT_BIGGERMEM1	3.9640940096387958	-3.947785600683147	2.274543399282874	2.1840469667852496	-4.040644941580866
BAYES_60	0.25808484995358144	-2.9342370685787538	-2.764819162792688	-3.0635375666854827	-2.7615892445691554
CTYPE_001C_B	-3.4567956394574537	-1.1110257518287028	-0.4866576922136754	-0.48474261580520916	-1.2777693197743547
USER_IN_DEF_WHITELIST	-3.5764346892137833	0.5687865267923288	0.4834698061363681	0.22755006070308367	0.35664045601790567
RATWARE_MS_HASH	3.002218556097334	4.407058648104979	4.972513456925353	4.403037534079269	4.73006050348226
FUZZY_VPILL	-2.5970885260791343	-0.6203204477339983	0.7444421058527232	0.7444421058527232	-0.5234431877557875
FREEMAIL_REPLYTO	-0.4843730702141914	2.7161807731608776	2.8515814227326017	3.4358271333349526	3.0254900494514336
UPPERCASE_50_75	-0.20733170080896707	0.3539629366438894	0.44997446473957603	0.32695678537343376	0.16718152462359498
HTML_FONT_SIZE_LARGE	2.1167741280473473	-0.040760223412577554	-0.8146031327594131	-0.8146031327594131	0.017825504390897473
DATE_IN_FUTURE_96_XX	-4.179406317522059	0.72015369846429	3.5024545969921217	1.1968407170601547	0.7755656038555783
BAYES_99	4.361743571511266	4.468998472525586	4.246940674412753	4.194602352857785	4.471018688368494
FORGED_HOTMAIL_RCVD2	1.299451137563762	-4.202838338827607	1.6615302213545045	1.5727181268024428	2.5633416035162195
RCVD_IN_BRBL_LASTEXT	-1.4586313224627407	2.8345574456160785	2.8216537430824125	2.717659097034014	2.836496785287477
HTML_IMAGE_ONLY_16	-4.652796579052406	-1.1896607657444525	-1.5290374054524623	-1.2297870934680857	-1.2322190713297183
MIME_BASE64_TEXT	4.753697111450565	1.894510831437368	1.9229765125828473	1.1990167640756786	-3.9162420786631
HTML_IMAGE_ONLY_24	-4.537867826947122	-3.4671235094550568	-3.3169047348557146	-3.3169047348557146	-3.2032481421011982
BAD_CREDIT	3.482873262230129	-2.6989460855750056	-2.7063681234497303	-2.7063681234497303	-2.7014216455728204
BUG6152_INVALID_DATE_TZ_ABSURD	1.28257650046191	4.111889264931217	3.71878150333589	4.462837659169867	4.249476274486529
INVALID_DATE_TZ_ABSURD	3.8636144926963243	2.9310703218986083	4.439132627204963	4.439132627204963	-3.7270327285648643
MSGID_OUTLOOK_INVALID	3.9368815083166875	3.938215496667377	4.411844559439444	3.9240772821901437	4.555032770369715
NO_RDNS_DOTCOM_HELO	4.934668774157692	1.0051881259387514	0.7246835232558615	0.8139056955195073	1.4407932573383042
HTML_IMAGE_ONLY_20	-3.217264315149848E-4	3.5141893166704223	3.490192626079176	3.5807004846824992	3.973397060880647
HTML_SHORT_LINK_IMG_3	-3.121341411203894	-3.0991374817994304	-4.084129989156747	-1.7198384210851287	-2.3194375307927446
IP_LINK_PLUS	0.10886392602081998	1.5939693653807758	1.1134742347194262	1.2584843721982832	0.4053103195992407
RATWARE_OUTLOOK_NONAME	3.823573520187918	-1.065475396209542	-1.1100469323113245	-1.1100469323113245	-1.5167901506946015
FORGED_MUA_MOZILLA	2.662902248533525	4.495341016814862	-0.9441359440075927	-0.9441359440075927	4.522211627711809
INVALID_DATE	4.811670391766466	2.7136893815150005	4.055804032012956	4.038609669947697	3.9437365510742746
NA_DOLLARS	1.1431907587654035	0.3941105843519801	3.183261437858264	0.27058881902611853	2.291722710293119
RCVD_FAKE_HELO_DOTCOM	0.7964486935386702	-0.5599087082128076	-0.30177548021636547	-0.3358057654295612	-3.952742683657755
FORGED_MUA_OUTLOOK	2.786239423132149	-1.5563784213227985	0.9861656951495463	0.9627131670966441	1.0326874206294576
FROM_ILLEGAL_CHARS	0.5511440852593363	-0.7060468450613914	-0.7263645644320329	-0.7263645644320329	-0.743575596830219
HTML_FONT_LOW_CONTRAST	-0.6425950160338731	-1.5136946345346867	-1.6406306011229885	-1.4940183770282858	-1.5475452601380426
HTML_OBFUSCATE_05_10	2.528044998602844	3.116440517818979	3.106915214104588	3.106915214104588	3.2432239078714487
MIME_HTML_ONLY_MULTI	-0.7673949110549448	-0.936308617118699	-0.8803199991350984	-0.7626295901995579	-0.7208417823035183
MSGID_SHORT	1.3275673730555024	-3.2158994748897185	3.9908894106881636	4.950006737946055	-1.7487844573883047
FORGED_YAHOO_RCVD	4.908367744027602	4.965718419164558	4.864477137042724	4.844988445466249	4.992425486146015
HTML_IMAGE_ONLY_04	-3.343570742350617	3.1447280476067454	-4.630461579396612	1.130851738130083	0.47596075227555784
HTML_SHORT_LINK_IMG_1	2.426356751453356	-0.0999862871567207	-0.421524959477679	-0.4020451855230647	-0.0782329259055729
BANG_GUAR	4.05339415770422	4.654244374474308	4.844550804422685	4.411324106584999	4.604488696063029
GUARANTEED_100_PERCENT	3.038669388473674	-0.2912077190798802	-0.7001659921185964	-0.3965292708061671	-0.39991417266058626
FIN_FREE	3.7620224215713867	1.0039055677531545	1.165719090110702	0.9931125354576426	1.0210141646195476
DOS_OE_TO_MX	2.217016985221177	4.656121427945349	3.933752214718975	4.743121587900642	3.378175523170637
FORGED_OUTLOOK_HTML	4.025990855357954	2.465137702226949	1.8561849650338549	-2.318467809964915	4.118615586291315
